n,t
1360,0.015257
1362,0.017113
1364,0.015606
1366,0.015612
1368,0.016473
1370,0.016750
1372,0.015074
1374,0.015759
1376,0.017742
1378,0.015047
1380,0.015242
1382,0.018450
1384,0.015894
1386,0.015229
1388,0.016097
1390,0.017922
1392,0.017158
1394,0.017111
1396,0.017962
1398,0.017696
1400,0.015873
1402,0.015593
1404,0.016425
1406,0.017946
1408,0.016912
1410,0.015417
1412,0.017396
1414,0.018880
1416,0.017894
1418,0.015800
1420,0.019330
1422,0.016483
1424,0.016112
1426,0.016822
1428,0.018136
1430,0.016276
1432,0.017999
1434,0.018488
1436,0.016452
1438,0.016272
1440,0.016457
1442,0.018969
1444,0.016087
1446,0.019403
1448,0.019829
1450,0.016827
1452,0.016399
1454,0.016440
1456,0.020317
1458,0.017143
1460,0.016437
1462,0.019646
1464,0.017533
1466,0.018435
1468,0.019521
1470,0.020471
1472,0.017240
1474,0.016713
1476,0.019762
1478,0.017750
1480,0.017907
1482,0.016910
1484,0.018643
1486,0.018418
1488,0.019188
1490,0.019493
1492,0.017213
1494,0.018500
1496,0.020000
1498,0.018815
