n,t
1360,0.019176
1362,0.018152
1364,0.017366
1366,0.016726
1368,0.017920
1370,0.017286
1372,0.017667
1374,0.019253
1376,0.020329
1378,0.017039
1380,0.017573
1382,0.019784
1384,0.019030
1386,0.017637
1388,0.017611
1390,0.020414
1392,0.019786
1394,0.019591
1396,0.019773
1398,0.020046
1400,0.017864
1402,0.018968
1404,0.020570
1406,0.018919
1408,0.017821
1410,0.017625
1412,0.022140
1414,0.018949
1416,0.019082
1418,0.019613
1420,0.020595
1422,0.019266
1424,0.020367
1426,0.022733
1428,0.019175
1430,0.018610
1432,0.018871
1434,0.023076
1436,0.019935
1438,0.018798
1440,0.021004
1442,0.019097
1444,0.019121
1446,0.019750
1448,0.021439
1450,0.018845
1452,0.018883
1454,0.021119
1456,0.020312
1458,0.018955
1460,0.019487
1462,0.022031
1464,0.019635
1466,0.020686
1468,0.023703
1470,0.020171
1472,0.019513
1474,0.019653
1476,0.023572
1478,0.021476
1480,0.020011
1482,0.023210
1484,0.021493
1486,0.019942
1488,0.022227
1490,0.020575
1492,0.021520
1494,0.020839
1496,0.022423
1498,0.020327
