n,t
1360,0.019237
1362,0.019373
1364,0.015237
1366,0.014973
1368,0.016429
1370,0.016159
1372,0.015621
1374,0.015760
1376,0.015327
1378,0.017237
1380,0.017892
1382,0.016555
1384,0.017524
1386,0.019096
1388,0.015975
1390,0.016710
1392,0.016458
1394,0.015496
1396,0.015660
1398,0.017148
1400,0.017042
1402,0.016234
1404,0.018984
1406,0.019150
1408,0.017356
1410,0.017796
1412,0.017583
1414,0.019780
1416,0.016740
1418,0.016834
1420,0.017820
1422,0.017011
1424,0.016442
1426,0.018667
1428,0.018132
1430,0.017867
1432,0.019279
1434,0.016981
1436,0.017058
1438,0.017495
1440,0.019845
1442,0.017636
1444,0.016317
1446,0.019634
1448,0.019675
1450,0.019408
1452,0.017621
1454,0.018441
1456,0.019125
1458,0.017682
1460,0.018597
1462,0.017462
1464,0.016879
1466,0.018063
1468,0.017093
1470,0.019870
1472,0.019276
1474,0.018417
1476,0.017515
1478,0.018167
1480,0.019453
1482,0.017803
1484,0.017888
1486,0.020916
1488,0.017414
1490,0.017913
1492,0.022600
1494,0.023447
1496,0.023590
1498,0.023643
1500,0.024459
1502,0.018277
1504,0.019132
1506,0.019534
1508,0.018574
1510,0.017710
1512,0.020756
1514,0.019062
1516,0.017499
1518,0.019698
1520,0.017918
1522,0.018323
1524,0.022324
1526,0.018603
1528,0.018640
1530,0.020348
1532,0.020383
1534,0.018277
1536,0.022640
1538,0.019123
1540,0.018967
1542,0.020022
1544,0.018524
1546,0.020876
1548,0.020076
1550,0.019692
1552,0.020244
1554,0.021975
1556,0.019203
1558,0.019770
1560,0.021146
1562,0.019519
1564,0.022533
1566,0.019527
1568,0.019500
1570,0.022953
1572,0.019717
1574,0.018899
1576,0.021190
1578,0.020140
1580,0.019806
1582,0.021419
1584,0.019323
1586,0.021947
1588,0.021250
1590,0.019704
1592,0.023654
1594,0.019575
1596,0.021325
1598,0.022303
1600,0.021295
1602,0.020490
1604,0.019809
1606,0.020138
1608,0.023971
1610,0.020168
1612,0.020589
1614,0.026011
1616,0.020033
1618,0.021053
1620,0.021990
1622,0.021123
1624,0.022739
1626,0.020854
1628,0.021790
1630,0.024875
1632,0.020190
1634,0.021866
1636,0.022982
1638,0.022439
1640,0.023978
1642,0.022193
1644,0.020498
1646,0.023824
1648,0.020470
1650,0.024783
1652,0.022208
1654,0.020489
1656,0.023923
1658,0.021356
1660,0.023107
1662,0.021668
1664,0.021191
1666,0.024252
1668,0.022182
1670,0.024222
1672,0.022361
1674,0.021024
1676,0.025041
1678,0.022082
1680,0.025969
1682,0.022720
1684,0.021398
1686,0.025307
1688,0.021908
1690,0.024337
1692,0.022378
1694,0.023908
1696,0.023567
1698,0.021925
1700,0.026055
1702,0.025680
1704,0.026370
1706,0.022935
1708,0.023290
1710,0.024622
1712,0.023375
1714,0.025280
1716,0.022748
1718,0.025751
1720,0.024459
1722,0.023496
1724,0.025568
1726,0.025864
1728,0.025429
1730,0.024050
1732,0.029808
1734,0.028333
1736,0.024448
1738,0.025589
1740,0.023967
1742,0.025157
1744,0.023367
1746,0.028777
1748,0.024743
1750,0.025493
1752,0.024880
1754,0.027849
1756,0.023536
1758,0.026198
1760,0.025658
1762,0.023358
1764,0.026581
1766,0.023999
1768,0.030146
1770,0.025410
1772,0.026127
1774,0.025865
1776,0.024090
1778,0.025102
1780,0.025115
1782,0.027215
1784,0.024230
1786,0.028344
1788,0.025178
1790,0.028430
1792,0.026793
1794,0.027163
1796,0.025105
1798,0.024906
1800,0.027400
1802,0.026589
1804,0.028403
1806,0.028099
1808,0.027843
1810,0.028301
1812,0.028341
1814,0.026011
1816,0.030936
1818,0.025901
1820,0.029546
1822,0.027276
1824,0.028878
1826,0.026314
1828,0.026998
1830,0.027455
1832,0.027599
1834,0.025517
1836,0.029990
1838,0.026579
1840,0.027102
1842,0.027582
1844,0.025671
1846,0.027393
1848,0.027457
1850,0.026412
1852,0.026493
1854,0.028348
1856,0.032088
1858,0.029504
1860,0.028042
1862,0.030880
1864,0.027595
1866,0.029081
1868,0.028993
1870,0.027787
1872,0.027843
1874,0.029501
1876,0.026703
1878,0.028835
1880,0.027532
1882,0.032177
1884,0.028699
1886,0.028882
1888,0.029319
1890,0.030033
1892,0.027967
1894,0.030335
1896,0.028089
1898,0.030827
1900,0.030118
1902,0.030540
1904,0.029538
1906,0.030103
1908,0.028684
1910,0.029676
1912,0.029623
1914,0.030944
1916,0.031222
1918,0.033727
1920,0.031133
1922,0.030371
1924,0.033442
1926,0.028401
1928,0.032598
1930,0.028087
1932,0.029290
1934,0.029555
1936,0.029502
1938,0.029502
1940,0.031508
1942,0.028453
1944,0.032757
1946,0.030010
1948,0.033192
1950,0.030546
1952,0.029618
1954,0.029557
1956,0.030398
1958,0.030276
1960,0.030452
1962,0.030147
1964,0.034181
1966,0.036308
1968,0.029942
1970,0.034579
1972,0.030056
1974,0.032224
1976,0.030673
1978,0.038699
1980,0.032322
1982,0.029722
1984,0.032178
1986,0.031382
1988,0.037980
1990,0.036033
1992,0.033357
1994,0.032505
1996,0.033371
1998,0.040649
2000,0.031137
2002,0.032462
2004,0.030848
2006,0.030497
2008,0.042833
2010,0.033494
2012,0.034517
2014,0.032166
2016,0.033471
2018,0.035707
2020,0.031908
2022,0.034914
2024,0.034252
2026,0.037621
2028,0.032712
2030,0.033876
2032,0.034403
2034,0.038014
2036,0.035355
2038,0.033710
2040,0.038224
2042,0.032918
2044,0.035505
2046,0.036304
