n,t
4120,0.140234
4130,0.140526
4140,0.142506
4150,0.144081
4160,0.143962
4170,0.146232
4180,0.145229
4190,0.160026
4200,0.179434
4210,0.173268
4220,0.147681
4230,0.148978
4240,0.148334
4250,0.156332
4260,0.152108
4270,0.150916
4280,0.150813
4290,0.152060
4300,0.154560
4310,0.153328
4320,0.153515
4330,0.154197
4340,0.156346
4350,0.159169
4360,0.154876
4370,0.157331
4380,0.160597
4390,0.160309
4400,0.158721
4410,0.160089
4420,0.162138
4430,0.162244
4440,0.161674
4450,0.163664
4460,0.166569
4470,0.165971
4480,0.167107
4490,0.165870
4500,0.168606
4510,0.182282
4520,0.177348
4530,0.166310
4540,0.172967
4550,0.170146
4560,0.167178
4570,0.173444
4580,0.170343
4590,0.172280
4600,0.176652
4610,0.185119
4620,0.188425
4630,0.177930
4640,0.183212
4650,0.189317
4660,0.196642
4670,0.200067
4680,0.195121
4690,0.177576
4700,0.191722
4710,0.184809
4720,0.178902
4730,0.180464
4740,0.182876
4750,0.184535
4760,0.182010
4770,0.182237
4780,0.186075
4790,0.188615
4800,0.186091
4810,0.193319
4820,0.193586
4830,0.191302
4840,0.188758
4850,0.190442
4860,0.192388
4870,0.194690
4880,0.196840
4890,0.192837
4900,0.194766
4910,0.199858
4920,0.194807
4930,0.204453
4940,0.200699
4950,0.202880
4960,0.199638
4970,0.199668
4980,0.207566
4990,0.203587
5000,0.200403
5010,0.203184
5020,0.207973
5030,0.205655
5040,0.204017
5050,0.217926
5060,0.216681
5070,0.212846
5080,0.208704
5090,0.209323
5100,0.213589
5110,0.215003
5120,0.212514
5130,0.217371
5140,0.217400
5150,0.218194
5160,0.215568
5170,0.216432
5180,0.220271
5190,0.221119
5200,0.230805
5210,0.220814
5220,0.223091
5230,0.224690
5240,0.222098
5250,0.221585
5260,0.226211
5270,0.229283
5280,0.227948
5290,0.225443
5300,0.232090
5310,0.238507
5320,0.227784
5330,0.230572
5340,0.236444
5350,0.235811
5360,0.232220
5370,0.235342
5380,0.237268
5390,0.239169
5400,0.235123
5410,0.236893
5420,0.240086
5430,0.249077
5440,0.240296
5450,0.241142
5460,0.245852
5470,0.245098
5480,0.241785
5490,0.244114
5500,0.254484
5510,0.252047
5520,0.246279
5530,0.248622
5540,0.252523
5550,0.260062
5560,0.251095
5570,0.250021
5580,0.254934
5590,0.254653
5600,0.253999
5610,0.253068
5620,0.259292
5630,0.262044
5640,0.258728
5650,0.258084
5660,0.261765
5670,0.265599
5680,0.267810
5690,0.260363
5700,0.269124
5710,0.272457
5720,0.265041
5730,0.267372
5740,0.269819
5750,0.271780
5760,0.267917
5770,0.270139
5780,0.274333
5790,0.275515
5800,0.277737
