n,t
1360,0.021115
1362,0.021424
1364,0.017683
1366,0.016937
1368,0.017010
1370,0.019841
1372,0.017943
1374,0.017863
1376,0.018705
1378,0.019234
1380,0.017465
1382,0.018698
1384,0.019698
1386,0.017844
1388,0.019331
1390,0.019360
1392,0.019087
1394,0.017359
1396,0.017684
1398,0.019487
1400,0.017788
1402,0.018377
1404,0.019964
1406,0.018898
1408,0.017626
1410,0.019402
1412,0.020153
1414,0.019441
1416,0.018913
1418,0.020961
1420,0.019772
1422,0.019136
1424,0.020253
1426,0.021669
1428,0.018492
1430,0.019485
1432,0.021435
1434,0.019758
1436,0.019749
1438,0.020316
1440,0.018778
1442,0.019420
1444,0.019071
1446,0.021619
1448,0.021033
1450,0.019884
1452,0.025056
1454,0.022249
1456,0.021324
1458,0.020862
1460,0.019941
1462,0.020120
1464,0.023354
1466,0.021460
1468,0.020976
1470,0.021886
1472,0.022751
1474,0.020327
1476,0.020393
1478,0.022804
1480,0.021199
1482,0.020213
1484,0.024375
1486,0.020387
1488,0.021673
1490,0.025581
1492,0.024514
1494,0.024690
1496,0.025884
1498,0.024480
1500,0.020341
1502,0.021411
1504,0.023260
1506,0.021630
1508,0.021055
1510,0.020536
1512,0.023957
1514,0.020311
1516,0.021518
1518,0.021013
1520,0.020679
1522,0.020096
1524,0.022262
1526,0.021882
1528,0.020860
1530,0.021946
1532,0.021941
1534,0.021000
1536,0.023072
1538,0.020676
1540,0.023012
1542,0.023662
1544,0.021235
1546,0.022874
1548,0.022271
1550,0.023653
1552,0.024016
1554,0.024394
1556,0.021804
1558,0.025678
1560,0.024083
1562,0.021672
1564,0.023604
1566,0.021813
1568,0.023976
1570,0.022192
1572,0.024550
1574,0.025524
1576,0.022908
1578,0.024519
1580,0.025905
1582,0.021842
1584,0.022124
1586,0.025849
1588,0.022716
1590,0.022361
1592,0.022976
1594,0.022289
1596,0.024642
1598,0.022390
1600,0.026097
1602,0.025866
1604,0.025657
1606,0.022607
1608,0.025045
1610,0.023118
1612,0.024935
1614,0.024334
1616,0.022893
1618,0.026780
1620,0.023157
1622,0.024208
1624,0.028365
1626,0.024698
1628,0.026465
1630,0.024924
1632,0.023398
1634,0.026376
1636,0.024588
1638,0.027031
1640,0.024990
1642,0.024061
1644,0.027827
1646,0.025187
1648,0.025468
1650,0.026800
1652,0.026826
1654,0.030146
1656,0.025492
1658,0.023955
1660,0.028454
1662,0.025921
1664,0.028268
1666,0.024808
1668,0.027304
1670,0.028276
1672,0.024826
1674,0.028941
1676,0.026205
1678,0.026763
1680,0.028461
1682,0.025628
1684,0.029431
1686,0.025562
1688,0.025960
1690,0.026458
1692,0.026616
1694,0.031667
1696,0.026120
1698,0.030686
1700,0.026230
1702,0.026165
1704,0.027778
1706,0.026703
1708,0.031446
1710,0.025884
1712,0.028197
1714,0.026016
1716,0.027488
1718,0.029375
1720,0.026961
1722,0.028649
1724,0.029528
1726,0.030120
1728,0.026911
1730,0.027840
1732,0.028587
1734,0.029401
1736,0.030653
1738,0.027348
1740,0.031089
1742,0.026734
1744,0.028257
1746,0.028934
1748,0.027622
1750,0.029049
1752,0.029813
1754,0.030569
1756,0.029718
1758,0.030500
1760,0.029603
1762,0.028644
1764,0.029027
1766,0.027551
1768,0.031919
1770,0.028466
1772,0.032282
1774,0.028544
1776,0.031990
1778,0.027839
1780,0.031494
1782,0.027886
1784,0.030067
1786,0.028723
1788,0.032383
1790,0.031359
1792,0.029041
1794,0.033552
1796,0.028412
1798,0.033263
1800,0.028640
1802,0.030088
1804,0.029615
1806,0.030527
1808,0.033091
1810,0.030303
1812,0.032332
1814,0.030587
1816,0.031733
1818,0.030164
1820,0.030409
1822,0.029843
1824,0.035092
1826,0.029718
1828,0.032996
1830,0.029351
1832,0.033194
1834,0.029402
1836,0.034168
1838,0.031627
1840,0.032834
1842,0.030371
1844,0.032729
1846,0.030531
1848,0.034934
1850,0.029742
1852,0.036318
1854,0.032522
1856,0.035859
1858,0.031577
1860,0.033390
1862,0.030903
1864,0.035932
1866,0.032484
1868,0.034120
1870,0.031835
1872,0.034830
1874,0.033556
1876,0.034003
1878,0.030907
1880,0.036973
1882,0.033968
1884,0.037399
1886,0.032846
1888,0.035744
1890,0.032259
1892,0.035016
1894,0.031603
1896,0.034760
1898,0.033634
1900,0.038279
1902,0.034164
1904,0.038579
1906,0.033584
1908,0.035511
1910,0.035093
1912,0.037685
1914,0.037287
1916,0.038559
1918,0.040549
1920,0.039030
1922,0.035552
1924,0.034979
1926,0.033849
1928,0.034479
1930,0.037266
1932,0.032740
1934,0.036541
1936,0.034455
1938,0.034847
1940,0.034713
1942,0.038101
1944,0.035001
1946,0.038768
1948,0.033406
1950,0.037802
1952,0.035369
1954,0.040479
1956,0.035244
1958,0.042183
1960,0.035888
1962,0.040323
1964,0.042107
1966,0.037647
1968,0.034524
1970,0.037844
1972,0.036598
1974,0.036685
1976,0.040579
1978,0.040921
1980,0.042625
1982,0.034028
1984,0.036883
1986,0.041932
1988,0.043203
1990,0.043057
1992,0.037763
1994,0.039022
1996,0.042263
1998,0.039107
2000,0.037413
2002,0.035006
2004,0.042953
2006,0.039730
2008,0.040036
2010,0.038534
2012,0.039892
2014,0.039018
2016,0.036369
2018,0.046613
2020,0.039041
2022,0.040078
2024,0.040142
2026,0.036375
2028,0.044068
2030,0.038532
2032,0.042133
2034,0.037851
2036,0.038903
2038,0.044818
2040,0.041337
2042,0.041518
2044,0.037955
2046,0.041590
2048,0.037960
2050,0.041417
2052,0.039264
2054,0.041540
2056,0.039897
2058,0.038811
2060,0.039751
2062,0.037844
2064,0.045222
2066,0.039795
2068,0.041782
2070,0.040212
2072,0.043892
2074,0.044134
2076,0.045808
2078,0.041114
2080,0.046237
2082,0.037986
2084,0.041023
2086,0.040203
2088,0.041670
2090,0.042974
2092,0.040020
2094,0.041952
2096,0.044381
2098,0.042065
2100,0.042484
2102,0.041572
2104,0.041926
2106,0.048152
2108,0.039784
2110,0.040193
2112,0.042007
2114,0.038873
2116,0.044873
2118,0.041562
2120,0.042751
2122,0.047698
2124,0.040590
2126,0.044600
2128,0.041830
2130,0.040146
2132,0.044767
2134,0.039973
2136,0.042698
2138,0.042700
2140,0.040353
2142,0.042778
2144,0.041365
2146,0.041911
2148,0.045930
2150,0.041943
2152,0.040998
2154,0.045653
2156,0.042812
2158,0.044140
2160,0.045774
2162,0.041158
2164,0.046097
2166,0.043676
2168,0.041756
2170,0.048622
2172,0.047004
2174,0.043801
2176,0.043780
2178,0.044437
2180,0.042695
2182,0.045871
2184,0.047374
2186,0.041588
2188,0.044779
2190,0.046276
2192,0.043949
2194,0.045667
2196,0.045506
2198,0.044784
2200,0.044469
2202,0.048492
2204,0.044493
2206,0.044386
2208,0.049380
2210,0.048576
2212,0.047876
2214,0.049868
2216,0.045784
2218,0.044333
2220,0.049451
2222,0.044685
2224,0.046919
2226,0.049675
2228,0.043956
2230,0.047682
2232,0.048297
2234,0.045008
2236,0.046185
2238,0.049126
2240,0.044874
2242,0.045032
2244,0.049921
2246,0.043808
2248,0.047966
2250,0.047086
2252,0.045672
2254,0.047193
2256,0.049465
2258,0.044249
2260,0.046694
2262,0.052665
2264,0.048504
2266,0.049535
2268,0.049766
2270,0.046576
2272,0.047724
2274,0.054081
2276,0.048290
2278,0.048829
2280,0.055378
2282,0.049412
2284,0.048320
2286,0.051705
2288,0.046078
2290,0.048830
2292,0.052870
2294,0.048602
2296,0.049117
2298,0.051410
2300,0.049325
2302,0.047978
2304,0.053273
2306,0.047204
2308,0.050736
2310,0.052683
2312,0.047592
2314,0.048904
2316,0.054188
2318,0.049112
2320,0.048525
2322,0.055565
2324,0.048070
2326,0.048306
2328,0.052538
2330,0.047312
2332,0.049932
2334,0.053456
2336,0.048757
2338,0.052844
2340,0.058111
2342,0.056980
2344,0.053239
2346,0.055406
2348,0.056149
2350,0.049138
2352,0.050355
2354,0.057199
2356,0.050619
2358,0.050550
2360,0.056693
2362,0.049419
2364,0.051112
2366,0.060018
2368,0.050156
2370,0.052542
2372,0.056179
2374,0.049520
2376,0.050932
2378,0.058226
2380,0.049623
