n,t
4120,0.200247
4130,0.201228
4140,0.202757
4150,0.203399
4160,0.204720
4170,0.204495
4180,0.205694
4190,0.206343
4200,0.208391
4210,0.208653
4220,0.209627
4230,0.210466
4240,0.210849
4250,0.213433
4260,0.214011
4270,0.215202
4280,0.217490
4290,0.218485
4300,0.219064
4310,0.218178
4320,0.219719
4330,0.220449
4340,0.221329
4350,0.221450
4360,0.223984
4370,0.228552
4380,0.224684
4390,0.227298
4400,0.226934
4410,0.229358
4420,0.228945
4430,0.231851
4440,0.231421
4450,0.231844
4460,0.232639
4470,0.233998
4480,0.235030
4490,0.236552
4500,0.238692
4510,0.238868
4520,0.240462
4530,0.241632
4540,0.241264
4550,0.242752
4560,0.243819
4570,0.246270
4580,0.245547
4590,0.246619
4600,0.248043
4610,0.249248
4620,0.249461
4630,0.250326
4640,0.252458
4650,0.253031
4660,0.254356
4670,0.255326
4680,0.255802
4690,0.257596
4700,0.259136
4710,0.261332
4720,0.260754
4730,0.262387
4740,0.263018
4750,0.263800
4760,0.265286
4770,0.270813
4780,0.267076
4790,0.267854
4800,0.270194
4810,0.270532
4820,0.271997
4830,0.272606
4840,0.275053
4850,0.274715
4860,0.276567
4870,0.277251
4880,0.278948
4890,0.279506
4900,0.280392
4910,0.281645
4920,0.283072
4930,0.283527
4940,0.284948
4950,0.285200
4960,0.288430
4970,0.287708
4980,0.289723
4990,0.290160
5000,0.292612
5010,0.293847
5020,0.295387
5030,0.295240
5040,0.297002
5050,0.298261
5060,0.302330
5070,0.299112
5080,0.300639
5090,0.301936
5100,0.302884
5110,0.304791
5120,0.309390
5130,0.307687
5140,0.308801
5150,0.308520
5160,0.311114
5170,0.312148
5180,0.313074
5190,0.314157
5200,0.315144
5210,0.316998
5220,0.318359
5230,0.323428
5240,0.321249
5250,0.321075
5260,0.322488
5270,0.323732
5280,0.325697
5290,0.325812
5300,0.328154
5310,0.329181
5320,0.329475
5330,0.331867
5340,0.332638
5350,0.333437
5360,0.335069
5370,0.337921
5380,0.339632
5390,0.338929
5400,0.340038
5410,0.339997
5420,0.343121
5430,0.345398
5440,0.344768
5450,0.347201
5460,0.347278
5470,0.348547
5480,0.350587
5490,0.350836
5500,0.351611
5510,0.352861
5520,0.354506
5530,0.355539
5540,0.356855
5550,0.359682
5560,0.360227
5570,0.362095
5580,0.363261
5590,0.365562
5600,0.366898
5610,0.366725
5620,0.367949
5630,0.368541
5640,0.370430
5650,0.373711
5660,0.375292
5670,0.375145
5680,0.375533
5690,0.376585
5700,0.383027
5710,0.379322
5720,0.382689
5730,0.383019
5740,0.383855
5750,0.384893
5760,0.386429
5770,0.392555
5780,0.392132
5790,0.390420
5800,0.394134
5810,0.392584
5820,0.393647
5830,0.395757
5840,0.396306
5850,0.399127
5860,0.399082
5870,0.401066
5880,0.401947
5890,0.403410
5900,0.403621
5910,0.408686
5920,0.408669
5930,0.409185
5940,0.409505
5950,0.414044
5960,0.414295
5970,0.415210
5980,0.415325
5990,0.416510
6000,0.417573
6010,0.418600
6020,0.421547
6030,0.422725
6040,0.423932
6050,0.424806
6060,0.427976
6070,0.427054
6080,0.427834
6090,0.430920
6100,0.431684
6110,0.433936
6120,0.434506
6130,0.436768
6140,0.440099
6150,0.440827
